10/10/18 05:07:53 INFO input.FileInputFormat: Total input paths to process : 1
10/10/18 05:07:53 INFO mapred.JobClient: Running job: job_201010172132_0008
10/10/18 07:55:11 INFO mapred.JobClient:  map 100% reduce 84%
10/10/18 07:56:14 INFO mapred.JobClient:  map 100% reduce 85%
10/10/18 07:57:17 INFO mapred.JobClient:  map 100% reduce 86%
10/10/18 07:58:24 INFO mapred.JobClient:  map 100% reduce 87%
10/10/18 07:59:30 INFO mapred.JobClient:  map 100% reduce 88%
10/10/18 08:00:39 INFO mapred.JobClient:  map 100% reduce 89%
10/10/18 08:01:42 INFO mapred.JobClient:  map 100% reduce 90%
10/10/18 08:02:48 INFO mapred.JobClient:  map 100% reduce 91%
10/10/18 08:03:51 INFO mapred.JobClient:  map 100% reduce 92%
10/10/18 08:04:54 INFO mapred.JobClient:  map 100% reduce 93%
10/10/18 08:05:57 INFO mapred.JobClient:  map 100% reduce 94%
10/10/18 08:07:00 INFO mapred.JobClient:  map 100% reduce 95%
10/10/18 08:08:03 INFO mapred.JobClient:  map 100% reduce 96%
10/10/18 08:09:12 INFO mapred.JobClient:  map 100% reduce 97%
10/10/18 08:10:12 INFO mapred.JobClient:  map 100% reduce 98%
10/10/18 08:11:15 INFO mapred.JobClient:  map 100% reduce 99%
10/10/18 08:12:19 INFO mapred.JobClient:  map 100% reduce 100%
10/10/18 08:12:27 INFO mapred.JobClient: Job complete: job_201010172132_0008
10/10/18 08:12:27 INFO mapred.JobClient: Counters: 17
10/10/18 08:12:27 INFO mapred.JobClient:   Job Counters 
10/10/18 08:12:27 INFO mapred.JobClient:     Launched reduce tasks=1
10/10/18 08:12:27 INFO mapred.JobClient:     Launched map tasks=70
10/10/18 08:12:27 INFO mapred.JobClient:     Data-local map tasks=70
10/10/18 08:12:27 INFO mapred.JobClient:   FileSystemCounters
10/10/18 08:12:27 INFO mapred.JobClient:     FILE_BYTES_READ=93657996490
10/10/18 08:12:27 INFO mapred.JobClient:     HDFS_BYTES_READ=4687827090
10/10/18 08:12:27 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=115779522678
10/10/18 08:12:27 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=17075817226
10/10/18 08:12:27 INFO mapred.JobClient:   Map-Reduce Framework
10/10/18 08:12:27 INFO mapred.JobClient:     Reduce input groups=384289426
10/10/18 08:12:27 INFO mapred.JobClient:     Combine output records=1857862033
10/10/18 08:12:27 INFO mapred.JobClient:     Map input records=28941110
10/10/18 08:12:27 INFO mapred.JobClient:     Reduce shuffle bytes=22121523948
10/10/18 08:12:27 INFO mapred.JobClient:     Reduce output records=384289426
10/10/18 08:12:27 INFO mapred.JobClient:     Spilled Records=4453057445
10/10/18 08:12:27 INFO mapred.JobClient:     Map output bytes=24310532400
10/10/18 08:12:27 INFO mapred.JobClient:     Combine input records=2019973055
10/10/18 08:12:27 INFO mapred.JobClient:     Map output records=1012938850
10/10/18 08:12:27 INFO mapred.JobClient:     Reduce input records=850827828
